#Series_01_x	Series_01_y
2.03233	0.00549443
2.10609	0.0245597
2.16578	0.0476392
2.21595	0.0781441
2.26854	0.117914
2.3138	0.162096
2.33931	0.199925
2.36884	0.23749
2.39059	0.275013
2.40853	0.315699
2.42832	0.34811
2.4399	0.375217
2.46338	0.416392
2.48693	0.448305
2.50248	0.480669
2.52826	0.513523
2.54581	0.546287
2.57135	0.581054
2.60606	0.629335
2.62561	0.660443
2.64338	0.694009
2.68068	0.732234
2.70443	0.770604
2.75538	0.833956
2.77895	0.863015
2.8085	0.897731
2.83829	0.930742
2.86786	0.963149
2.9153	1.017
2.94687	1.04926
2.98796	1.08152
3.03497	1.12917
3.06359	1.15893
3.11565	1.19548
3.16129	1.22248
3.21307	1.24242
3.27302	1.26114
3.34613	1.27218
3.42401	1.27571
3.51575	1.26971
3.59754	1.25494
3.66155	1.23893
3.74194	1.21059
3.86281	1.17049
3.96028	1.13832
4.06226	1.1049
4.15619	1.0769
4.2541	1.049
4.3473	1.02279
4.44871	0.999648
4.53734	0.980359
4.68082	0.960403
4.77436	0.950793
4.90393	0.945627
5.05176	0.942361
5.22063	0.944651
5.36543	0.9498
5.51066	0.958912
5.62435	0.966482
5.7398	0.974001
5.87199	0.981964
6.01725	0.988673
6.15226	0.995783
6.30628	1.00053
6.46431	1.00523
6.61055	1.00958
6.78086	1.01191
6.9229	1.01186
7.0792	1.013
7.28067	1.00935
